Tanggal,Harga_CPO,Harga_Kernel,Indeks_K,Harga_TBS
1/1/2014,"8,751.71","5,537.80",88.82,"1,950.93"
8/1/2014,"8,858.36","5,614.35",88.51,"1,968.08"
15/01/2014,"8,715.29","5,585.42",88.25,"1,933.36"
22/01/2014,"8,630.70","5,626.46",88.82,"1,931.47"
29/01/2014,"8,833.28","5,769.18",88.57,"1,971.65"
5/2/2014,"8,794.93","5,838.09",88.29,"1,961.13"
12/2/2014,"8,802.66","5,961.33",89.03,"1,984.72"
19/02/2014,"9,016.83","6,093.65",88.47,"2,019.59"
26/02/2014,"9,141.90","6,260.61",88.65,"2,055.57"
5/3/2014,"9,273.80","6,453.69",89.21,"2,102.89"
12/3/2014,"9,556.39","6,664.59",89.6,"2,177.27"
19/03/2014,"9,563.83","6,849.38",89.74,"2,190.39"
26/03/2014,"8,962.15","6,697.15",89.23,"2,053.72"
2/4/2014,"8,846.46","6,496.66",88.59,"2,007.41"
9/4/2014,"8,630.93","6,200.75",88.79,"1,956.78"
16/04/2014,"8,424.46","5,872.20",88.62,"1,898.19"
23/04/2014,"8,658.66","5,787.84",88,"1,926.23"
30/04/2014,"8,788.22","5,865.71",88.22,"1,959.55"
7/5/2014,"8,779.25","5,868.19",88.51,"1,964.23"
14/05/2014,"8,543.65","5,817.38",87.72,"1,899.33"
21/05/2014,"8,502.32","5,828.70",88.21,"1,902.48"
28/05/2014,"8,322.85","5,790.25",88.4,"1,870.02"
4/6/2014,"8,312.95","5,782.73",87.81,"1,855.42"
11/6/2014,"8,084.81","5,807.95",88.19,"1,820.54"
18/06/2014,"8,221.17","5,676.68",87.3,"1,822.40"
25/06/2014,"8,417.93","5,890.17",88.02,"1,884.83"
2/7/2014,"8,778.39","6,029.66",88.64,"1,974.31"
9/7/2014,"8,499.87","5,977.04",88.54,"1,915.84"
16/07/2014,"8,421.89","5,705.44",88.34,"1,884.24"
23/07/2014,"8,151.08","5,223.92",88.5,"1,813.34"
6/8/2014,"7,996.48","5,150.76",87.93,"1,768.79"
13/08/2014,"8,046.08","5,002.33",87.92,"1,771.41"
20/08/2014,"7,674.54","4,793.11",87.34,"1,679.45"
27/08/2014,"7,233.23","3,950.21",87.19,"1,554.99"
3/9/2014,"7,073.37","3,399.86",86.39,"1,486.23"
10/9/2014,"7,088.13","3,420.08",86.59,"1,493.30"
17/09/2014,"7,358.99","3,483.51",86.92,"1,553.34"
24/09/2014,"7,742.95","3,694.87",86.99,"1,636.97"
1/10/2014,"7,695.59","3,879.40",87.67,"1,648.97"
8/10/2014,"7,967.46","4,018.49",87.3,"1,700.08"
15/10/2014,"7,851.87","4,212.54",87.71,"1,694.69"
22/10/2014,"7,760.44","4,167.69",87.7,"1,674.94"
29/10/2014,"7,640.97","4,117.52",86.89,"1,634.48"
5/11/2014,"7,971.15","4,234.23",87.21,"1,708.57"
12/11/2014,"7,925.56","4,487.16",87.81,"1,722.94"
19/11/2014,"7,892.12","4,444.08",87.48,"1,708.21"
26/11/2014,"7,751.31","4,494.69",87.4,"1,681.90"
3/12/2014,"7,643.99","4,441.33",87.23,"1,655.81"
10/12/2014,"7,524.30","4,383.96",87.25,"1,630.82"
17/12/2014,"7,472.95","4,588.18",87.23,"1,629.70"
24/12/2014,"7,643.36","4,640.73",87.34,"1,666.70"
31/12/2014,"7,635.91","4,576.95",86.55,"1,647.43"
7/1/2015,"7,526.95","4,726.73",87.92,"1,659.15"
14/01/2015,"7,911.57","4,984.89",88.02,"1,746.80"
21/01/2015,"7,956.73","5,161.36",87.48,"1,752.58"
28/01/2015,"7,742.46","5,254.81",87.91,"1,724.22"
4/2/2015,"7,529.97","5,161.58",86.6,"1,654.03"
11/2/2015,"7,542.28","5,167.02",87.1,"1,666.19"
18/02/2015,"7,861.00","5,473.48",88.14,"1,761.34"
25/02/2015,"5,674.79","8,076.60",87.78,"1,804.62"
4/3/2015,"8,059.46","5,755.56",87.89,"1,807.07"
11/3/2015,"8,261.99","6,058.68",88.43,"1,871.04"
18/03/2015,"7,916.27","6,031.47",87.45,"1,783.06"
25/03/2015,"7,731.71","5,619.86",88.07,"1,741.66"
1/4/2015,"7,473.33","5,296.21",87.29,"1,662.46"
8/4/2015,"7,418.52","5,294.27",87.53,"1,656.51"
15/04/2015,"7,198.49","5,114.42",87.37,"1,603.31"
22/04/2015,"7,137.13","4,995.99",86.05,"1,562.54"
29/04/2015,"7,140.00","4,967.39",86.63,"1,572.17"
6/5/2015,"7,213.59","4,933.36",86.15,"1,575.94"
13/05/2015,"7,269.20","4,973.17",87.61,"1,614.97"
20/05/2015,"7,357.48","5,002.79",87.14,"1,624.44"
27/05/2015,"7,458.88","4,831.40",87.3,"1,639.27"
3/6/2015,"7,590.90","4,785.55",87.13,"1,659.11"
10/6/2015,"7,937.54","4,946.08",86.49,"1,719.57"
17/06/2015,"7,770.00","4,838.32",87.53,"1,703.36"
24/06/2015,"7,734.62","4,640.17",87.79,"1,692.75"
1/7/2015,"7,356.11","4,564.65",86.55,"1,593.94"
8/7/2015,"7,326.76","4,477.15",86.59,"1,585.18"
15/07/2015,"7,198.83","4,384.59",86.68,"1,558.47"
22/07/2015,"7,096.36","4,338.89",86.43,"1,532.65"
5/8/2015,"6,725.27","4,258.27",86.49,"1,459.95"
12/8/2015,"6,417.10","4,298.50",86.14,"1,397.68"
19/08/2015,"6,022.83","3,742.19",85.39,"1,287.78"
26/08/2015,"6,026.95","3,112.43",84.88,"1,253.51"
2/9/2015,"5,253.01","2,663.40",85.97,"1,104.44"
9/9/2015,"5,388.15","2,806.86",87.43,"1,155.46"
16/09/2015,"5,579.70","3,146.75",88.92,"1,227.75"
23/09/2015,"5,820.13","3,767.96",90.41,"1,324.58"
30/09/2015,"6,081.64","3,869.61",89.85,"1,372.34"
7/10/2015,"6,631.99","4,333.77",90.88,"1,519.05"
14/10/2015,"6,346.12","4,479.11",91.62,"1,480.87"
21/10/2015,"6,178.62","4,271.67",90.91,"1,426.49"
28/10/2015,"5,949.54","4,180.59",90.65,"1,372.84"
4/11/2015,"5,829.90","4,105.93",89.06,"1,321.96"
11/11/2015,"5,876.74","4,017.72",88.79,"1,323.07"
18/11/2015,"5,600.47","3,969.09",88.78,"1,267.04"
25/11/2015,"5,530.26","3,891.12",88.7,"1,248.85"
2/12/2015,"5,687.26","3,952.41",88.68,"1,281.70"
9/12/2015,"5,931.47","4,121.04",89.87,"1,354.70"
16/12/2015,"6,138.95","4,219.73",89.47,"1,393.70"
23/12/2015,"6,097.05","4,324.11",88.33,"1,372.68"
30/12/2015,"6,153.48","4,420.28",88.85,"1,395.98"
6/1/2016,"6,153.48","4,420.28",88.85,"1,395.98"
13/01/2016,"6,246.89","4,617.90",90.14,"1,443.85"
20/01/2016,"6,135.51","4,705.25",88.05,"1,392.84"
27/01/2016,"6,225.48","4,773.68",88.8,"1,425.29"
3/2/2016,"6,353.31","4,843.26",88.93,"1,455.35"
10/2/2016,"6,833.33","4,978.90",89.61,"1,566.66"
17/02/2016,"7,056.09","5,273.97",90.54,"1,640.78"
24/02/2016,"7,293.06","5,433.48",90.77,"1,699.27"
2/3/2016,"7,277.97","5,520.15",90.72,"1,699.40"
9/3/2016,"7,170.65","5,640.00",90.82,"1,685.49"
16/03/2016,"7,168.53","5,754.69",90.85,"1,690.98"
23/03/2016,"7,345.72","5,906.09",91.24,"1,740.66"
30/03/2016,"7,712.05","6,603.72",92.35,"1,868.69"
6/4/2016,"8,083.51","6,809.91",91.8,"1,941.64"
13/04/2016,"8,424.56","7,125.83",91.94,"2,028.12"
20/04/2016,"8,291.93","7,042.85",92.27,"2,004.58"
27/04/2016,"8,417.51","7,029.74",91.93,"2,021.95"
4/5/2016,"8,249.91","6,741.04",92,"1,976.19"
11/5/2016,"8,118.37","6,615.61",91.47,"1,932.61"
18/05/2016,"8,251.46","6,600.81",92.24,"1,974.98"
25/05/2016,"8,073.40","6,578.70",91.82,"1,929.19"
1/6/2016,"7,802.17","6,477.03",91.67,"1,867.08"
8/6/2016,"7,957.39","6,564.89",91.23,"1,893.19"
15/06/2016,"8,022.13","6,794.85",91.76,"1,927.81"
22/06/2016,"7,569.11","6,929.51",91.62,"1,840.35"
6/7/2016,"7,398.77","7,061.60",91.32,"1,806.53"
13/07/2016,"7,219.01","7,033.84",91.11,"1,765.37"
20/07/2016,"6,956.64","6,632.63",91.06,"1,693.40"
27/07/2016,"7,209.18","6,661.60",91.35,"1,750.67"
3/8/2016,"7,186.02","6,843.28",90.96,"1,747.02"
10/8/2016,"7,542.15","6,892.67",91.7,"1,834.88"
17/08/2016,"7,965.25","7,172.86",92.01,"1,939.36"
24/08/2016,"8,507.84","7,453.93",92.07,"2,063.21"
7/9/2016,"8,660.78","7,757.46",92.44,"2,116.74"
14/09/2016,"8,565.36","7,808.45",92.49,"2,100.81"
21/09/2016,"8,500.60","7,926.70",92.5,"2,093.70"
28/09/2016,"8,225.31","7,745.57",92.18,"2,022.34"
5/10/2016,"7,931.56","7,487.29",91.95,"1,946.11"
12/10/2016,"7,498.38","6,688.50",91.32,"1,809.14"
19/10/2016,"7,335.31","6,549.69",91.55,"1,774.53"
26/10/2016,"7,649.75","6,609.85",91.44,"1,838.09"
2/11/2016,"7,861.51","6,859.20",91.8,"1,899.53"
9/11/2016,"7,874.95","6,866.28",91.5,"1,896.29"
16/11/2016,"8,233.66","7,332.66",92.5,"2,011.48"
23/11/2016,"8,227.90","7,940.46",92.07,"2,029.50"
30/11/2016,"8,451.33","7,990.26",92.26,"2,081.22"
7/12/2016,"8,631.33","8,114.18",92.64,"2,132.06"
14/12/2016,"8,715.39","8,533.57",92.56,"2,167.13"
21/12/2016,"8,904.07","8,567.46",92.63,"2,208.59"
28/12/2016,"8,866.05","8,928.07",92.81,"2,222.30"
4/1/2017,"8,868.28","8,922.56",92.84,"2,223.18"
11/1/2017,"8,929.15","9,085.10",93.01,"2,247.25"
18/01/2017,"8,878.52","9,052.90",92.03,"2,211.89"
25/01/2017,"9,038.92","9,566.62",92.44,"2,278.45"
1/2/2017,"9,004.06","9,807.00",93.3,"2,303.81"
8/2/2017,"8,835.39","9,923.29",93.14,"2,271.13"
15/02/2017,"8,994.37","9,773.88",93.02,"2,293.49"
22/02/2017,"8,689.33","9,191.79",92.54,"2,192.32"
1/3/2017,"8,368.14","7,507.96",92.05,"2,037.01"
8/3/2017,"8,119.21","6,233.24",91.9,"1,924.02"
15/03/2017,"8,212.73","6,203.02",91.25,"1,927.67"
22/03/2017,"8,121.95","6,222.71",91.14,"1,908.12"
29/03/2017,"8,182.74","6,357.33",91.26,"1,929.06"
5/4/2017,"8,158.87","6,017.92",90.45,"1,891.63"
12/4/2017,"7,897.22","5,440.84",91.54,"1,835.03"
19/04/2017,"7,739.14","5,164.44",90.19,"1,764.04"
26/04/2017,"7,652.07","5,210.93",91.79,"1,780.12"
3/5/2017,"7,609.36","5,053.58",90.14,"1,732.32"
10/5/2017,"7,734.56","5,145.11",91.45,"1,788.65"
17/05/2017,"7,896.22","5,395.90",90.74,"1,816.74"
24/05/2017,"8,113.37","5,658.62",91.8,"1,893.80"
7/6/2017,"8,164.62","6,093.25",91.14,"1,910.70"
14/06/2017,"7,826.54","6,053.53",91.48,"1,848.16"
21/06/2017,"7,742.48","5,838.26",91.72,"1,826.18"
28/06/2017,"7,691.74","5,618.42",90.85,"1,788.60"
5/7/2017,"7,703.95","5,564.80",90.73,"1,786.25"
12/7/2017,"7,516.83","5,585.02",91.7,"1,768.59"
19/07/2017,"7,529.57","5,554.27",90.79,"1,752.26"
26/07/2017,"7,404.04","5,447.39",91.38,"1,733.47"
2/8/2017,"7,420.31","5,540.19",91,"1,733.96"
9/8/2017,"7,531.84","6,004.57",91.16,"1,780.78"
16/08/2017,"7,509.38","6,123.35",90.63,"1,771.42"
23/08/2017,"7,745.56","6,316.04",91.23,"1,839.32"
6/9/2017,"7,944.73","6,554.45",91.5,"1,895.64"
13/09/2017,"7,901.29","6,995.05",91.78,"1,913.46"
20/09/2017,"8,146.16","7,112.76",91.62,"1,964.67"
27/09/2017,"8,405.22","7,382.20",91.93,"2,036.06"
4/10/2017,"8,238.00","7,488.36",92.15,"2,012.23"
11/10/2017,"8,169.63","7,464.94",92.17,"1,997.74"
18/10/2017,"8,157.67","7,515.49",92.4,"2,002.67"
25/10/2017,"8,218.04","7,888.85",91.98,"2,023.24"
1/11/2017,"8,275.96","8,051.33",92.33,"2,050.31"
8/11/2017,"8,403.61","8,254.76",92.7,"2,093.97"
15/11/2017,"8,321.03","8,139.12",92.56,"2,068.59"
22/11/2017,"8,232.78","8,170.30",92.37,"2,047.98"
29/11/2017,"7,905.69","8,012.38",92.18,"1,970.44"
6/12/2017,"7,741.43","7,932.20",91.94,"1,928.42"
13/12/2017,"7,746.30","7,665.71",91.83,"1,914.76"
20/12/2017,"7,562.88","7,328.17",91.42,"1,853.74"
27/12/2017,"7,461.56","7,147.89",92.04,"1,837.45"
3/1/2018,"7,520.45","6,977.84",91.26,"1,825.81"
10/1/2018,"7,634.33","6,884.50",91.2,"1,842.82"
17/01/2018,"7,779.62","7,204.07",91.76,"1,898.34"
24/01/2018,"7,478.79","7,036.53",92.31,"1,841.01"
31/01/2018,"7,586.24","6,945.08",91.15,"1,835.21"
7/2/2018,"7,785.94","6,920.95",91.71,"1,885.31"
14/02/2018,"7,843.03","6,840.20",91.9,"1,896.99"
21/02/2018,"7,974.07","6,616.42",91.6,"1,906.53"
28/02/2018,"7,928.49","6,588.27",91.92,"1,902.72"
7/3/2018,"8,106.80","6,333.32",92.14,"1,931.30"
14/03/2018,"7,985.50","5,877.47",91.27,"1,867.60"
21/03/2018,"7,925.49","5,748.75",91.33,"1,850.89"
28/03/2018,"8,014.28","6,050.34",91.04,"1,876.60"
4/4/2018,"7,982.04","6,033.82",91.29,"1,874.49"
11/4/2018,"8,056.53","5,973.80",91.97,"1,900.63"
18/04/2018,"7,954.92","6,072.53",91.87,"1,882.86"
25/04/2018,"7,829.49","5,790.28",90.97,"1,826.24"
2/5/2018,"7,856.65","5,927.24",91.55,"1,849.88"
9/5/2018,"7,715.42","5,883.35",91.24,"1,813.38"
16/05/2018,"7,733.18","5,821.20",91.54,"1,820.03"
23/05/2018,"7,785.47","5,704.76",91.4,"1,822.23"
30/05/2018,"7,835.67","5,629.67",91.71,"1,834.90"
6/6/2018,"7,534.33","5,344.36",90.86,"1,744.86"
13/06/2018,"7,169.27","4,732.25",91.34,"1,652.61"
4/7/2018,"7,234.86","4,802.49",91.09,"1,664.41"
11/7/2018,"7,274.73","5,151.88",91,"1,686.80"
18/07/2018,"7,004.40","5,056.64",91.5,"1,637.60"
25/07/2018,"6,777.48","5,033.03",90.32,"1,570.68"
1/8/2018,"6,665.35","5,179.75",90.01,"1,549.83"
8/8/2018,"6,690.49","5,384.96",90.75,"1,577.18"
15/08/2018,"6,763.03","5,605.10",90.97,"1,605.53"
22/08/2018,"6,790.37","5,694.93",90.56,"1,607.94"
29/08/2018,"6,728.40","5,763.00",89.96,"1,588.11"
5/9/2018,"6,822.86","5,725.01",90.34,"1,611.71"
12/9/2018,"6,879.77","5,726.11",90.11,"1,618.91"
19/09/2018,"6,711.82","5,632.08",90.07,"1,580.80"
26/09/2018,"6,624.59","5,396.71",87.79,"1,529.48"
3/10/2018,"6,545.22","5,190.47",86.49,"1,482.87"
10/10/2018,"6,627.62","5,067.49",86.28,"1,489.50"
17/10/2018,"6,768.30","4,968.97",86.94,"1,523.55"
24/10/2018,"6,732.24","4,898.74",86.96,"1,513.91"
31/10/2018,"6,651.62","4,785.50",86.08,"1,478.35"
7/11/2018,"6,541.77","4,638.47",86.6,"1,459.85"
14/11/2018,"6,014.24","4,116.55",85.14,"1,314.13"
21/11/2018,"5,629.80","3,804.77",83.78,"1,209.19"
28/11/2018,"5,351.66","3,770.76",83.99,"1,159.43"
5/12/2018,"5,639.27","4,058.80",83.83,"1,222.52"
12/12/2018,"5,950.59","4,108.05",84.29,"1,288.93"
19/12/2018,"6,244.86","4,301.89",85.85,"1,376.61"
26/12/2018,"6,347.11","4,833.45",86.09,"1,422.97"
2/1/2019,"6,507.18","4,782.24",85.78,"1,445.85"
9/1/2019,"6,831.41","4,823.73",86.52,"1,524.91"
16/01/2019,"6,917.79","4,936.99",87.07,"1,552.97"
23/01/2019,"7,034.90","4,869.60",87.53,"1,580.69"
6/2/2019,"7,080.99","4,730.07",87.31,"1,579.58"
13/02/2019,"7,167.57","4,510.11",86.68,"1,575.12"
20/02/2019,"7,086.04","4,652.56",87.2,"1,575.03"
27/02/2019,"7,109.69","4,292.51",87.1,"1,562.08"
6/3/2019,"6,780.13","4,046.48",86.05,"1,470.19"
13/03/2019,"6,967.05","4,134.79",86.83,"1,523.13"
20/03/2019,"7,019.09","3,945.09",86.26,"1,514.69"
27/03/2019,"6,900.35","4,013.90",86.54,"1,499.98"
3/4/2019,"6,836.41","4,092.60",85.59,"1,475.08"
10/4/2019,"6,907.00","4,113.39",86.8,"1,510.05"
17/04/2019,"7,007.36","4,012.21",86.11,"1,512.74"
24/04/2019,"6,874.86","3,898.14",86.44,"1,488.36"
1/5/2019,"6,718.21","3,844.50",86.4,"1,455.54"
8/5/2019,"6,653.11","3,763.02",86.06,"1,434.03"
15/05/2019,"6,433.45","3,761.87",85.36,"1,381.10"
22/05/2019,"6,474.33","3,788.87",85.46,"1,391.58"
